,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1973,18.32,18.62,16.32,13.52,11.02,8.52,6.72,8.82,10.92,12.32,14.72,16.32
1974,16.22,19.42,13.52,13.82,9.72,8.02,8.42,8.02,11.02,11.82,14.82,17.52
1975,18.92,18.42,16.92,13.92,11.32,6.62,7.02,8.92,9.62,12.22,12.52,14.82
1976,16.72,14.12,15.52,12.52,9.82,7.12,6.62,8.32,9.02,10.72,12.02,15.82
1977,15.52,16.52,15.62,12.92,8.32,7.92,7.42,8.32,8.12,11.12,13.02,15.12
1978,18.92,18.82,17.32,15.32,10.32,7.62,8.22,8.32,10.02,10.62,13.62,15.82
1979,18.32,17.32,16.62,13.22,9.92,8.32,7.82,7.82,10.32,11.82,14.62,16.22
1980,17.42,17.32,14.32,12.42,10.32,7.62,6.92,7.72,11.02,12.92,12.62,14.92
1981,18.82,17.72,17.92,14.62,10.12,9.42,8.32,7.42,10.32,12.02,13.42,17.42
1982,17.32,18.72,15.52,11.72,11.02,7.72,6.52,8.02,9.72,9.82,15.12,14.32
1983,16.32,16.22,17.12,12.92,10.02,8.12,7.02,8.22,10.52,12.62,13.02,14.62
1984,15.12,16.62,16.82,13.22,9.82,8.82,8.42,9.12,10.02,11.62,15.02,17.72
1985,20.02,18.02,15.72,13.02,10.22,9.32,8.52,7.82,10.22,10.82,12.92,16.82
1986,19.32,17.92,15.52,14.02,10.52,8.12,6.32,7.22,9.42,12.62,13.72,15.92
1987,18.72,16.62,14.12,12.92,10.32,7.82,7.02,9.32,10.32,12.52,14.12,16.32
1988,17.92,17.92,14.82,11.52,9.92,9.02,8.72,8.82,12.22,13.72,15.32,18.22
1989,19.02,17.22,17.02,13.62,10.82,8.52,6.72,8.82,10.92,13.42,15.02,15.22
1990,17.52,19.72,17.52,13.42,11.12,8.12,7.62,9.02,10.32,12.62,13.72,16.92
1991,18.0,17.7,15.8,12.5,9.1,6.8,7.2,9.5,10.8,11.5,11.9,15.1
1992,16.6,15.7,13.7,10.1,7.6,7.4,8.2,7.4,8.5,10.8,14.1,14.3
1993,15.8,15.3,13.6,11.5,9.7,9.1,7.3,7.1,8.7,12.2,11.9,14.5
1994,17.4,18.4,15.3,13.6,11.0,8.0,6.8,8.9,9.4,11.1,13.2,15.9
1995,17.2,17.9,16.2,14.5,10.5,7.7,7.1,8.1,10.6,12.2,12.9,17.7
1996,17.6,17.4,14.2,14.5,9.6,7.0,7.9,7.7,11.8,12.4,12.4,15.5
1997,15.5,17.5,14.6,11.9,10.8,7.0,6.3,8.7,8.8,11.7,14.3,16.1
1998,18.8,20.8,18.3,14.5,10.3,8.2,9.4,8.4,10.8,13.6,13.1,16.1
1999,19.2,18.1,17.8,13.2,11.4,8.1,7.8,7.9,10.9,13.4,14.7,14.5
2000,16.6,16.8,15.4,13.2,10.8,8.7,8.8,8.0,9.9,12.4,11.5,17.5
2001,16.2,18.7,15.7,12.9,11.6,8.1,6.0,9.2,10.2,13.2,14.3,17.1
2002,17.2,15.6,16.3,12.3,10.5,9.9,8.2,8.9,11.1,10.9,12.8,15.9
2003,16.8,17.3,17.0,12.6,11.1,10.0,6.1,8.7,10.8,11.2,12.7,16.2
2004,19.8,16.4,14.1,11.4,11.1,9.5,7.0,7.8,9.6,12.4,14.7,14.1
2005,17.6,19.6,16.1,11.7,11.5,7.6,8.7,9.4,11.0,12.0,13.1,18.1
2006,17.9,17.7,14.4,14.1,10.3,6.8,8.2,8.7,11.1,11.9,13.9,13.9
2007,17.7,16.9,17.2,12.4,11.9,7.6,8.0,8.9,9.9,11.5,13.2,16.5
2008,19.0,18.3,16.7,13.1,8.7,7.8,7.9,8.3,10.3,12.5,15.1,17.1
2009,18.4,18.4,14.9,12.9,8.3,7.4,7.1,9.8,10.0,10.4,13.42,15.92
2010,17.52,18.02,15.92,14.02,11.12,8.42,6.82,9.62,11.62,11.02,14.82,17.92
2011,18.22,19.12,15.92,12.22,12.22,8.92,7.92,7.22,8.62,12.42,13.22,15.42
