,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1909,14.23,15.63,15.23,11.43,9.93,7.23,5.83,7.93,8.73,11.33,13.13,16.63
1910,16.23,17.43,14.53,11.03,10.13,6.73,4.93,7.43,9.93,13.03,14.73,15.13
1911,15.43,14.73,15.83,13.63,8.63,6.83,4.63,7.73,9.03,10.53,12.13,13.03
1912,14.53,13.33,12.23,11.93,7.33,5.63,5.33,6.83,9.23,11.33,12.23,15.13
1913,16.23,14.73,14.83,9.93,6.53,4.83,6.63,6.33,10.83,11.73,12.03,13.73
1914,17.63,16.23,14.53,12.03,6.93,5.73,5.23,6.43,9.13,12.03,12.93,13.73
1915,16.13,15.03,12.63,10.33,8.53,5.33,6.53,6.43,10.43,12.83,13.03,16.25
1916,16.05,17.25,16.35,12.85,9.05,8.25,6.25,6.65,9.85,11.35,14.75,17.65
1917,16.95,16.15,15.35,12.85,9.85,6.75,7.15,6.55,10.25,12.05,13.95,13.35
1918,15.85,17.15,14.05,11.55,9.25,6.15,4.25,6.85,8.25,11.45,12.25,13.55
1919,14.55,15.95,14.55,11.35,8.55,6.65,6.75,7.55,8.25,11.25,11.65,13.45
1920,14.35,15.05,14.65,11.55,7.55,7.15,7.15,5.95,7.45,11.55,12.45,15.05
1921,15.25,15.35,13.95,10.55,9.35,7.05,6.65,7.55,9.75,11.25,13.25,14.05
1922,15.55,16.55,12.65,11.45,8.35,4.95,4.85,6.75,9.25,13.55,13.05,14.85
1923,16.25,15.15,13.05,9.25,8.15,5.55,4.55,6.25,9.95,11.15,15.38,17.68
1924,17.38,17.58,13.88,14.78,8.08,6.48,5.48,6.98,11.98,13.28,13.78,13.48
1925,15.48,14.58,13.38,12.18,6.48,4.68,5.68,5.98,9.58,11.28,11.78,15.28
1926,18.09,14.59,13.29,13.39,8.59,6.09,5.89,7.29,8.89,11.19,12.69,13.49
1927,17.29,16.79,14.19,10.89,7.39,4.09,4.99,5.89,9.49,11.29,11.59,13.89
1928,15.99,17.19,15.69,13.79,8.69,6.19,7.19,7.09,9.09,11.99,12.79,13.99
1929,15.69,16.19,13.99,11.09,6.79,7.39,5.39,6.19,8.39,11.29,12.79,14.59
1930,14.49,15.49,13.79,11.39,8.39,5.09,4.59,5.69,7.29,9.29,11.29,14.29
1931,15.59,14.29,13.79,10.69,8.49,4.99,4.69,6.39,6.79,12.09,14.09,15.69
1932,16.09,15.39,14.19,11.69,8.19,5.59,3.99,5.29,8.29,11.19,13.69,13.99
1933,16.39,16.79,15.29,11.69,7.69,4.39,5.39,6.49,9.49,12.09,12.09,15.39
