,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1909,13.15,15.85,14.05,10.55,9.85,7.45,5.95,7.85,9.05,10.85,12.75,15.85
1910,14.95,15.05,14.05,10.15,10.35,8.05,4.85,7.65,9.45,11.75,13.65,14.75
1911,14.25,14.65,15.45,12.35,9.15,6.65,5.65,7.95,8.25,10.65,10.75,11.05
1912,13.35,12.15,10.75,10.15,7.95,6.25,5.75,7.45,9.65,12.15,11.75,13.75
1913,14.46,13.66,12.46,9.46,7.16,6.76,7.06,6.96,10.26,11.06,10.86,12.86
1914,15.76,14.36,13.66,11.06,7.06,6.66,6.36,7.56,9.66,11.36,10.96,12.06
1915,14.06,13.06,12.16,10.16,8.56,6.06,7.36,8.26,11.16,12.16,12.16,13.76
1916,14.16,15.66,14.76,12.66,9.36,8.76,6.06,7.26,10.06,10.66,12.96,15.66
1917,16.76,14.36,14.46,11.86,10.16,7.66,7.36,7.46,10.16,11.26,13.46,12.76
1918,14.76,16.16,14.06,10.86,8.86,6.66,4.66,6.76,8.46,10.66,10.66,11.86
1919,12.66,14.26,13.16,10.16,7.96,7.46,7.06,7.36,8.56,10.66,10.86,12.76
1920,12.76,15.26,13.66,11.66,7.46,7.66,7.76,5.56,7.66,11.06,10.66,14.16
1921,14.16,13.96,13.06,10.06,9.26,7.36,6.76,6.76,10.16,9.76,12.36,12.46
1922,14.36,15.16,11.16,11.26,9.06,5.66,6.06,7.56,9.26,12.46,11.86,13.46
1923,14.76,12.36,12.66,9.56,8.56,5.56,5.76,7.76,10.46,11.36,15.06,15.46
1924,15.86,16.56,14.26,14.06,9.26,7.16,7.06,8.46,11.46,11.86,13.76,13.66
1925,14.76,13.56,12.96,10.96,7.66,5.56,6.56,6.66,7.56,11.46,10.66,12.96
1926,14.86,13.26,12.76,13.06,8.06,7.56,6.76,7.36,9.46,9.66,11.16,12.86
1927,15.66,14.66,12.86,9.76,8.26,5.46,6.26,6.36,8.36,10.16,10.26,12.86
1928,15.96,15.66,14.86,12.66,9.56,6.16,7.16,7.96,9.26,10.66,12.46,12.66
1929,15.06,14.66,13.36,11.26,8.16,7.66,5.76,7.16,8.46,10.56,11.26,11.66
1930,13.26,15.06,12.96,11.86,8.96,6.36,4.76,6.56,7.56,9.06,9.96,12.76
1931,13.56,13.36,12.46,10.56,8.86,5.46,5.56,6.06,7.66,11.56,12.96,13.46
1932,13.26,13.26,12.56,11.46,8.06,6.46,5.46,5.76,7.86,10.86,12.76,13.06
1933,15.46,14.56,14.26,10.26,7.56,5.76,5.76,7.36,9.46,10.96,11.56,14.16
1934,12.66,14.86,12.66,12.26,7.96,6.26,5.66,7.56,9.66,10.76,13.76,16.76
1935,16.46,16.06,14.56,12.56,8.26,6.26,5.76,7.76,7.56,11.36,10.66,16.16
1936,14.96,14.16,11.16,11.96,8.26,7.06,5.56,8.56,8.66,11.86,11.86,12.46
1937,13.66,11.96,12.86,10.16,8.76,5.36,6.16,7.86,8.36,10.36,12.66,14.06
1938,15.86,17.66,14.56,12.96,10.76,6.76,4.36,7.96,9.46,11.96,12.06,12.36
1939,12.96,14.56,13.66,11.96,8.96,8.06,3.76,5.76,9.46,10.46,13.36,15.66
1940,15.66,13.36,13.26,9.96,8.06,7.06,6.76,7.96,9.16,10.26,11.96,15.26
1941,15.36,15.46,14.56,9.76,8.76,5.16,6.46,5.86,9.46,9.56,11.26,12.36
1942,13.86,13.86,13.16,11.46,8.96,7.96,6.56,7.96,9.86,10.96,12.46,12.69
1943,14.39,14.29,12.49,11.89,8.09,6.79,5.69,5.89,7.69,9.59,12.49,14.09
1944,14.79,14.39,12.89,11.79,8.09,6.29,6.29,6.19,8.09,9.99,11.49,11.99
1945,14.99,14.99,12.79,10.89,7.59,5.59,4.99,8.39,8.69,8.89,12.59,10.69
1946,13.89,15.09,13.69,11.09,8.99,6.69,6.99,7.09,8.59,9.49,8.69,11.79
1947,12.89,14.09,13.89,10.89,9.69,6.46,5.76,7.76,10.06,10.46,13.36,14.26
1948,15.66,14.56,14.16,11.06,8.86,6.36,7.16,7.46,9.26,10.36,12.06,14.16
1949,13.26,16.66,12.66,10.36,8.26,6.66,7.26,7.06,8.86,12.26,11.96,13.26
1950,14.86,14.06,12.86,10.46,9.36,6.26,6.66,6.46,9.66,11.86,12.46,14.06
1951,13.86,14.36,13.96,11.86,8.06,5.66,6.66,6.06,9.16,10.46,12.26,12.46
1952,13.66,14.76,13.06,11.66,9.06,5.86,5.76,7.66,9.46,10.96,11.06,14.86
1953,14.06,13.86,13.26,10.66,8.56,5.86,6.26,7.26,9.46,10.36,13.56,14.06
1954,14.56,15.96,14.46,10.86,10.36,8.16,5.96,7.26,8.46,11.36,14.16,13.16
1955,15.36,15.06,13.56,12.16,10.06,6.46,5.66,7.36,9.86,12.06,12.86,14.96
1956,17.86,14.86,13.06,13.56,8.96,8.46,6.46,7.26,9.86,11.16,13.06,14.46
1957,15.56,15.96,14.76,12.16,9.16,6.96,6.16,7.06,9.46,10.26,11.76,13.06
1958,13.56,15.26,14.46,10.46,8.36,6.86,4.86,7.16,8.66,11.66,13.56,13.86
1959,16.06,15.16,13.76,11.86,6.46,6.96,6.76,7.16,9.66,10.06,12.96,13.36
1960,15.96,14.36,12.86,11.66,9.36,7.06,7.16,7.26,8.66,11.76,12.23,13.13
1961,14.23,14.63,12.53,11.63,8.43,6.53,5.83,6.83,8.33,12.83,12.43,15.03
1962,15.93,13.93,14.13,10.73,10.43,7.83,7.33,7.43,9.53,11.53,12.73,14.03
1963,15.83,15.63,12.93,10.43,9.03,5.53,5.33,5.93,8.83,11.43,11.03,12.73
1964,13.93,14.13,13.63,11.03,8.33,6.43,6.53,6.83,9.23,11.33,12.23,14.73
1965,15.53,14.03,13.73,10.93,8.33,7.13,5.63,6.53,9.43,10.03,11.83,13.63
1966,13.93,16.23,14.43,12.23,8.53,7.03,6.13,6.93,9.33,11.43,12.43,13.13
1967,15.33,14.83,14.33,11.73,9.03,7.03,6.23,8.53,8.13,11.33,11.03,13.53
1968,14.33,15.73,15.23,11.03,9.63,6.93,5.03,8.13,8.53,10.23,12.23,12.93
1969,14.93,13.83,14.13,10.53,8.93,6.03,6.03,7.63,10.23,10.23,13.83,15.03
1970,15.83,14.63,14.03,12.03,8.23,7.93,7.23,8.33,8.73,11.03,12.83,14.63
1971,15.83,16.53,14.83,12.53,10.53,8.03,6.33,7.93,9.23,11.03,12.83,15.13
1972,14.43,14.83,14.83,11.53,8.73,5.83,6.03,6.63,10.33,11.13,13.33,12.63
1973,15.03,16.43,14.23,11.53,8.53,7.33,5.73,6.93,10.03,11.23,12.33,14.83
1974,14.63,15.53,13.03,11.83,9.53,6.23,7.03,6.73,9.53,10.13,13.33,15.33
1975,16.63,15.23,14.93,12.93,9.03,6.23,6.63,7.73,9.13,10.03,11.83,12.73
1976,14.03,13.23,14.23,12.13,9.73,6.13,6.73,7.43,7.83,9.43,10.43,13.93
1977,13.43,15.53,14.23,12.13,7.53,6.63,6.23,7.33,7.53,10.83,11.33,12.93
1978,15.93,15.63,14.83,13.23,9.73,5.83,7.23,8.33,8.93,10.33,13.13,13.33
1979,14.63,14.73,13.43,12.03,8.13,7.63,7.43,6.53,9.13,10.43,12.93,14.13
1980,14.93,14.53,13.03,11.53,9.93,6.63,6.53,8.03,10.13,12.13,10.63,14.03
1981,15.33,14.63,13.63,12.83,8.73,7.43,6.63,6.43,8.93,11.53,13.13,14.73
1982,14.53,15.93,14.23,10.73,9.83,6.83,6.13,8.43,8.93,9.93,12.83,12.33
1983,14.03,13.53,12.33,10.33,8.63,7.03,6.23,7.93,8.53,10.73,12.53,12.73
1984,13.63,15.13,14.43,12.23,8.03,7.83,6.83,7.93,9.53,11.23,13.73,14.23
1985,16.93,15.83,13.73,12.43,9.23,8.23,7.23,7.93,10.23,10.43,12.03,14.73
1986,16.53,15.23,14.03,13.63,8.83,7.23,6.73,6.73,9.53,11.23,12.63,14.53
1987,16.33,14.93,13.63,11.83,10.73,8.03,6.83,8.83,9.23,11.23,12.83,13.63
1988,15.53,14.43,13.03,10.53,7.23,7.13,7.23,7.83,10.63,12.53,13.23,15.73
1989,16.23,14.53,13.73,11.83,9.33,6.93,6.73,8.13,9.63,11.33,13.33,13.63
1990,15.53,16.43,14.23,11.93,9.83,7.73,6.73,7.63,9.23,10.43,12.13,14.43
1991,14.83,14.23,13.83,11.03,9.33,5.73,5.13,7.93,9.33,10.93,10.83,13.03
1992,14.93,13.83,12.43,10.23,7.03,5.83,6.13,5.83,7.23,9.63,12.53,12.43
1993,14.23,13.83,12.33,10.63,9.43,7.93,6.63,7.23,8.63,11.83,11.03,12.83
1994,15.73,15.73,12.53,12.53,8.93,6.43,5.93,8.43,7.93,9.93,12.33,13.73
1995,15.03,15.03,13.33,11.73,9.93,6.53,4.23,7.13,9.53,9.93,11.33,14.23
1996,15.33,14.73,13.23,12.03,9.43,5.93,5.43,6.43,10.13,11.43,11.13,13.63
1997,14.33,14.73,12.53,11.43,9.53,8.03,6.63,7.53,8.3,11.5,12.6,13.3
1998,16.2,17.5,15.1,11.5,9.7,7.3,7.6,7.5,10.3,11.6,12.1,14.0
1999,16.0,16.8,16.0,11.5,11.9,8.0,7.4,8.1,9.7,12.6,12.4,13.6
2000,13.8,15.5,13.5,12.2,10.2,7.8,7.0,7.2,9.2,10.8,10.0,14.4
2001,13.3,14.7,13.6,12.1,8.5,7.9,6.1,8.7,10.7,11.7,12.4,14.4
2002,15.3,14.1,14.0,11.6,10.0,8.3,6.8,8.7,11.1,10.0,11.5,14.4
2003,15.1,14.3,14.4,10.9,9.8,8.5,6.4,7.5,8.9,10.1,11.9,14.1
2004,16.3,13.5,13.2,10.5,9.2,8.0,6.1,6.2,9.1,10.0,13.0,11.0
2005,14.7,15.8,13.6,11.5,8.9,6.9,7.7,8.8,9.5,10.5,12.8,15.5
2006,15.5,15.2,11.9,13.0,9.5,5.9,6.9,7.4,11.3,11.3,12.2,12.4
2007,14.2,14.8,15.1,11.0,11.2,6.1,6.3,8.0,9.8,10.6,12.4,14.2
2008,16.5,15.5,14.4,12.0,8.4,8.0,7.0,6.7,10.7,10.7,12.7,13.6
2009,16.6,13.2,13.4,12.3,7.4,6.6,5.8,9.0,9.9,9.5,12.9,13.6
2010,14.3,15.7,15.0,12.8,9.8,7.3,6.8,8.0,9.4,11.3,14.1,15.3
2011,14.9,15.2,14.3,11.6,11.0,8.6,6.7,7.5,9.4,10.9,12.0,14.3
2012,15.0,14.0,12.5,12.6,9.2,6.3,7.5,8.4,10.5,10.2,11.5,15.1
2013,15.8,15.4,14.9,11.9,9.7,7.4,8.4,9.5,9.1,12.1,13.1,13.8
2014,13.9,14.7,13.6,12.2,9.9,8.7,7.3,7.6,9.2,10.5,11.5,14.0
2015,16.2,14.7,14.4,11.7,9.8,7.2,6.5,6.7,8.5,11.7,12.0,14.7
2016,14.3,17.7,14.8,13.2,11.1,9.0,7.0,7.2,9.1,11.8,12.5,14.1
2017,14.1,15.0,13.4,12.6,9.0,7.5,6.1,9.0,10.5,11.7,13.6,16.6
2018,18.1,15.4,15.3,11.7,9.1,7.2,7.8,8.5,9.5,11.5,12.7,15.2
2019,17.0,16.1,16.6,12.0,11.8,8.1,8.4,7.8,9.1,10.3,14.6,14.1
2020,15.3,15.7,13.0,11.6,10.0,7.6,7.2,9.3,10.2,11.9,13.5,14.5
2021,15.9,15.7,15.1,13.0,10.4,8.8,7.7,9.1,10.1,12.3,13.8,15.2
2022,16.3,15.1,15.3,13.1,11.5,8.2,7.5,9.2,9.7,10.5,13.7,14.7
2023,16.8,17.5,14.8,12.9,11.7,9.1,8.5,8.1,10.9,11.9,12.3,14.8
2024,16.1,15.7,13.0,12.2,8.8,8.9,8.4,8.8,10.6,11.7,12.9,15.5
2025,14.6,16.3,14.4,13.5,11.3,7.9,7.9,8.3,,,,
