,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1970,18.23,16.73,16.47,13.85,9.54,8.74,8.54,9.11,10.51,12.31,14.14,16.25
1971,17.75,18.45,16.24,13.83,11.74,10.07,7.54,9.35,10.4,11.91,13.74,16.23
1972,16.18,16.03,16.71,13.51,10.11,6.64,7.78,7.31,11.15,12.35,14.94,14.14
1973,16.8,17.61,15.94,13.23,10.71,8.71,7.25,8.53,10.88,12.28,14.24,16.05
1974,16.15,18.53,14.41,13.8,10.7,8.23,8.3,8.21,10.93,11.85,14.64,17.17
1975,18.6,17.74,16.8,14.01,11.17,7.43,7.23,8.94,10.18,11.95,12.91,14.33
1976,16.19,14.3,15.71,13.01,10.12,7.39,7.39,8.72,9.49,10.85,12.18,15.37
1977,15.41,16.49,15.84,13.15,8.85,8.17,7.87,8.42,8.31,11.51,12.72,14.51
1978,17.48,17.98,16.52,15.38,10.77,7.64,8.35,8.99,10.29,11.22,13.77,15.41
1979,17.18,16.62,16.24,13.04,10.01,8.97,8.21,8.01,10.54,11.87,14.34,15.61
1980,16.75,16.52,14.58,12.72,10.79,8.15,7.48,8.49,10.87,12.95,12.51,15.22
1981,17.85,17.51,16.89,14.57,10.18,9.19,7.79,7.61,9.89,11.95,13.95,16.88
1982,16.84,17.82,15.72,11.85,10.81,7.59,6.97,8.91,9.81,10.59,14.39,14.07
1983,15.64,15.67,15.47,12.68,10.21,8.25,6.91,8.69,10.42,12.41,13.47,14.58
1984,15.07,16.55,16.58,13.18,9.68,9.18,8.59,9.75,10.31,11.91,14.85,16.51
1985,18.42,17.22,15.47,13.69,10.49,9.44,8.78,8.39,10.89,11.34,13.48,16.59
1986,18.57,17.37,15.55,14.29,10.64,8.37,7.04,7.79,10.07,12.54,13.81,15.84
1987,17.95,16.51,14.74,13.12,11.37,8.79,7.99,9.95,10.63,12.33,14.25,15.61
1988,16.98,17.49,14.82,12.01,9.81,9.01,8.83,9.25,11.85,13.18,14.76,17.15
1989,18.42,16.95,16.33,13.45,10.93,8.69,7.19,9.26,11.33,13.09,14.62,15.32
1990,17.19,18.81,16.66,13.83,11.35,8.56,8.22,9.05,9.91,12.35,13.79,16.11
1991,16.86,16.66,15.72,12.69,10.42,7.52,7.06,9.52,10.86,11.79,12.19,14.75
1992,16.77,15.92,13.82,11.02,8.76,7.27,8.07,7.55,8.69,11.05,14.12,14.72
1993,15.73,15.5,14.16,12.07,10.63,9.55,7.9,7.96,9.29,12.56,12.19,14.52
1994,17.25,17.66,14.69,13.55,10.86,7.8,7.37,9.19,9.56,11.09,13.4,15.55
1995,16.79,17.49,15.75,14.49,11.22,8.39,6.73,8.4,10.35,11.7,12.99,16.75
1996,17.5,17.35,14.73,13.99,10.35,7.75,7.65,7.99,11.63,12.66,12.7,15.09
1997,15.75,17.45,14.86,12.51,11.55,8.23,7.29,8.58,9.53,12.34,13.96,15.23
1998,17.73,19.62,17.12,13.79,11.44,9.02,9.62,8.57,11.13,13.04,13.76,16.1
1999,18.73,18.26,17.56,13.57,12.14,8.94,8.36,8.74,11.06,13.4,14.47,14.96
2000,16.43,17.11,15.33,13.69,11.56,9.33,9.37,8.77,10.54,12.41,12.1,16.83
2001,15.96,17.74,15.9,13.51,11.34,8.66,6.76,9.5,11.21,13.41,14.14,16.6
2002,17.14,16.26,16.16,13.11,11.3,9.91,8.04,9.23,11.19,11.03,12.94,15.7
