,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1971,20.85,20.95,18.65,16.75,14.45,13.55,10.55,12.45,12.85,14.15,16.15,18.45
1972,18.45,18.95,19.55,16.35,13.75,10.25,11.15,10.45,13.05,14.35,17.55,16.85
1973,19.25,19.55,19.05,16.15,14.35,12.45,10.55,11.85,13.25,14.75,16.75,18.45
1974,19.45,22.05,18.05,16.95,14.35,11.95,11.95,11.95,13.65,14.85,17.15,19.45
1975,21.05,20.65,19.65,16.75,15.15,10.85,10.25,11.95,12.75,14.85,15.65,16.95
1976,19.15,17.05,18.85,16.11,12.71,10.51,10.51,12.21,12.41,13.81,14.91,17.51
1977,18.51,19.41,19.01,16.31,11.61,11.71,10.91,10.91,10.61,13.51,14.71,16.51
1978,19.51,20.81,18.91,17.61,13.21,11.11,10.81,11.31,12.71,13.01,16.11,17.91
1979,20.21,19.31,19.71,15.91,13.41,12.61,10.71,11.81,13.21,14.51,16.51,18.01
1980,19.41,19.41,17.31,14.81,13.31,11.61,10.61,10.71,13.41,14.91,15.41,17.31
1981,20.41,20.41,20.21,17.11,13.21,12.51,10.31,11.31,12.51,13.81,16.01,19.31
1982,19.71,20.21,17.51,14.31,13.61,9.61,9.31,11.11,12.31,13.11,16.81,17.11
1983,18.31,18.31,18.71,16.11,13.61,12.01,8.51,11.21,13.51,15.11,15.71,17.31
1984,17.71,18.91,19.11,15.41,13.31,12.01,11.41,12.61,12.21,14.01,17.41,19.61
1985,20.61,19.21,18.31,16.11,12.41,12.31,12.41,10.71,13.41,13.61,16.01,19.21
1986,20.81,20.01,18.31,16.91,13.91,11.61,9.81,10.81,13.01,14.81,16.41,17.91
1987,20.11,19.21,17.41,16.11,13.71,12.01,11.31,12.11,13.21,15.11,16.51,18.41
1988,19.11,20.71,18.11,15.61,14.51,12.21,12.01,12.51,14.11,15.21,17.21,19.01
1989,20.11,19.41,19.01,16.41,13.71,11.71,9.91,11.51,14.01,15.61,16.81,17.81
1990,19.71,21.41,19.81,17.41,14.41,11.11,11.61,11.91,11.71,15.21,16.71,18.61
1991,19.31,19.81,17.91,15.91,13.21,11.61,10.21,12.31,13.51,14.01,14.71,17.61
1992,19.31,19.81,16.81,13.51,12.31,10.51,11.51,11.01,11.61,13.11,16.81,18.21
1993,18.91,18.51,17.31,15.21,13.71,12.91,10.71,11.01,11.21,14.41,14.91,17.51
1994,20.61,20.41,17.41,16.01,14.41,11.41,10.51,11.11,12.31,13.51,15.71,18.51
1995,19.81,20.71,19.21,18.41,14.41,12.31,10.91,11.01,12.81,14.41,15.71,19.21
