,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1909,15.85,17.75,16.15,11.75,10.55,8.35,7.15,8.25,10.55,11.95,14.65,17.25
1910,18.65,18.35,16.15,12.25,10.55,7.75,6.65,7.95,9.35,12.15,14.95,15.85
1911,16.95,16.75,17.15,15.55,10.45,8.25,7.05,8.25,10.25,11.25,12.75,13.75
1912,16.15,15.15,13.95,12.35,9.05,7.05,7.45,6.85,10.05,11.95,13.85,16.45
1913,17.55,16.75,16.55,11.75,7.95,6.55,7.45,8.35,11.05,12.95,13.65,14.85
1914,18.25,18.15,16.15,12.95,9.05,6.95,6.65,7.05,9.45,11.65,13.65,13.85
1915,17.15,15.95,14.15,11.75,9.65,7.25,7.35,8.05,10.65,12.75,12.85,16.05
1916,17.45,19.05,17.95,14.15,11.45,9.65,8.45,7.65,9.85,12.25,14.55,17.95
1917,18.95,16.95,16.35,14.35,11.55,8.25,8.35,8.15,11.15,12.45,15.45,16.25
1918,17.85,17.95,16.85,13.85,9.45,8.05,5.75,7.75,8.75,11.05,12.75,13.85
1919,15.55,17.85,14.75,11.85,9.25,7.15,6.55,8.15,8.85,12.15,12.85,14.75
1920,15.25,17.35,14.95,12.95,8.15,7.55,6.75,7.05,9.25,11.55,12.15,16.23
1921,16.83,16.33,14.83,12.03,9.23,8.73,7.23,8.43,11.03,12.53,13.93,15.23
1922,17.13,17.43,14.43,13.43,10.93,7.63,7.03,8.43,9.53,13.43,14.03,16.23
1923,17.03,15.63,14.23,12.03,10.63,7.83,7.23,7.03,10.73,12.73,14.73,17.13
1924,17.63,17.93,16.93,15.53,10.83,8.13,6.93,8.73,10.63,13.13,14.03,15.23
1925,17.63,16.13,14.33,12.23,9.93,7.73,7.93,8.13,8.73,11.93,13.03,15.63
1926,16.03,15.63,14.63,13.93,10.13,7.23,7.63,7.63,9.93,12.33,12.53,15.33
1927,17.43,17.33,14.63,11.33,9.53,6.43,7.93,7.43,10.03,11.53,12.33,14.03
1928,16.73,18.93,17.43,15.03,12.23,9.13,8.93,9.13,9.93,12.33,13.73,15.93
1929,17.43,17.13,16.43,14.13,10.03,9.23,7.53,7.93,9.43,12.53,14.13,14.73
1930,15.53,16.63,15.43,13.53,9.83,7.53,6.33,8.73,8.83,10.93,12.53,14.93
1931,15.73,15.43,15.13,12.83,9.63,7.03,6.83,7.53,9.23,12.13,14.73,15.73
1932,15.78,17.08,15.38,13.28,9.98,7.08,5.98,6.48,9.88,13.28,14.58,15.38
1933,17.78,17.08,16.08,12.78,10.18,6.58,7.38,8.08,10.48,12.38,13.78,16.28
1934,16.58,17.08,15.48,13.78,9.78,8.38,6.78,8.98,10.78,12.18,15.08,18.68
1935,19.08,19.28,16.88,14.88,9.68,7.98,7.68,8.68,8.28,12.88,12.08,17.38
1936,17.28,16.58,14.38,14.08,9.08,7.68,7.18,8.28,9.68,13.18,14.08,15.38
1937,15.88,15.28,15.58,12.18,10.18,6.68,6.98,8.28,10.28,11.58,14.98,17.38
1938,18.38,19.28,17.98,16.58,11.88,8.08,7.18,7.88,10.78,12.68,15.18,14.68
1939,15.08,16.78,16.08,13.78,10.88,9.28,6.08,7.28,9.88,11.88,14.18,16.38
1940,17.78,15.78,14.68,12.08,9.38,7.58,6.68,8.68,11.58,11.78,13.28,17.18
1941,17.98,16.58,16.18,12.08,10.28,6.28,6.88,7.08,9.78,11.08,13.68,15.38
1942,16.28,16.18,14.68,13.58,10.68,7.18,7.68,8.68,10.28,12.98,14.78,15.08
1943,17.38,17.08,14.98,12.68,9.38,8.18,6.68,6.78,10.28,11.48,14.38,17.18
1944,18.08,17.08,15.78,13.68,9.28,7.28,7.58,8.18,9.98,11.68,13.38,14.58
1945,17.28,17.28,14.38,12.88,9.28,6.58,6.48,9.08,9.98,10.58,15.08,14.78
1946,17.38,17.18,15.68,13.38,11.18,8.38,8.38,7.98,10.28,11.08,11.38,14.68
1947,16.18,16.78,16.48,13.18,10.08,7.68,7.08,8.38,10.58,12.08,14.18,16.78
1948,17.18,17.28,16.68,13.48,10.48,7.58,8.68,7.98,10.08,11.48,13.28,15.98
1949,16.38,17.88,14.68,11.28,9.98,9.18,8.58,7.58,10.08,13.18,13.48,14.88
1950,17.08,16.18,15.38,12.28,12.28,8.08,6.98,7.58,10.48,12.78,15.08,16.48
1951,17.38,16.88,15.88,13.08,9.38,6.38,7.28,7.08,10.38,12.18,13.58,14.48
1952,16.18,17.38,15.38,13.38,10.68,7.68,5.98,8.98,10.68,12.98,14.28,15.98
1953,16.18,16.68,15.78,12.78,10.48,7.98,6.98,8.68,10.28,11.78,14.88,16.58
