,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1970,18.2,16.4,16.6,14.4,9.8,9.9,9.7,9.5,10.8,12.7,14.2,16.3
1971,17.1,18.7,16.6,14.5,12.3,11.4,8.5,10.3,10.9,12.0,13.7,15.9
1972,16.1,15.5,17.0,14.0,10.9,7.1,8.6,7.9,11.3,12.3,14.6,13.7
1973,16.4,17.3,16.0,13.5,11.5,9.9,8.1,9.1,11.1,12.1,14.2,16.1
1974,15.8,18.3,13.8,13.6,10.9,9.1,9.1,8.7,11.1,11.7,14.4,17.1
1975,18.8,17.9,17.1,14.9,12.4,8.3,8.2,9.6,10.0,11.8,12.2,14.2
1976,15.8,13.8,15.6,13.3,11.2,8.2,8.1,9.4,9.6,11.3,12.3,15.1
1977,15.3,15.9,15.5,13.7,9.8,9.0,8.4,8.7,8.3,11.3,12.7,14.2
1978,17.0,17.9,16.6,15.2,11.1,8.6,9.1,9.8,10.3,11.3,13.6,15.6
1979,17.2,16.8,16.0,13.7,10.7,9.9,9.1,8.2,10.2,11.6,14.5,15.2
1980,16.5,16.5,14.5,13.1,11.6,9.4,8.7,9.0,11.3,12.5,12.7,14.2
1981,17.8,17.5,17.3,15.3,11.2,10.1,8.9,8.0,10.4,11.2,13.6,16.3
1982,17.1,18.0,15.8,12.3,11.6,8.5,8.1,9.4,10.0,10.9,13.6,13.6
1983,15.6,15.8,15.7,13.0,10.6,9.2,8.1,9.1,10.8,12.3,13.0,14.8
1984,15.1,16.4,16.8,14.1,10.7,10.7,9.5,10.2,10.6,12.1,14.6,16.7
1985,18.6,17.5,15.3,13.9,11.2,10.9,9.8,8.9,11.2,11.5,13.1,16.4
1986,19.0,17.9,15.8,14.8,11.9,9.6,7.7,8.1,10.2,12.2,13.9,15.7
1987,18.2,16.6,14.6,13.4,12.1,9.9,8.8,10.9,11.1,12.3,14.2,15.4
1988,17.0,17.5,14.9,12.6,11.0,10.3,9.6,9.8,11.8,12.9,14.2,16.8
1989,18.2,16.7,16.7,14.3,11.8,9.4,7.7,9.5,11.4,13.2,14.0,14.7
1990,17.0,19.0,16.9,13.8,12.4,9.6,9.5,9.9,10.3,12.6,13.5,16.0
1991,16.4,16.9,15.7,13.0,11.6,8.5,8.4,10.3,11.6,11.9,12.4,14.8
1992,17.0,16.0,14.2,11.2,9.2,9.0,9.0,8.1,8.9,10.6,13.7,14.0
1993,15.4,15.3,14.3,12.3,11.4,10.6,9.7,8.6,9.5,12.5,12.0,14.5
1994,16.9,18.0,15.1,14.5,12.1,8.9,8.7,10.1,10.2,11.3,13.1,15.3
1995,16.3,17.3,16.1,14.7,11.8,9.0,8.1,8.8,10.4,11.7,12.7,16.8
1996,17.4,17.2,15.2,14.5,11.3,9.2,8.5,8.6,12.3,12.7,12.8,14.6
1997,15.5,17.4,15.0,12.8,12.6,9.6,8.4,9.1,9.5,12.0,13.6,15.0
1998,16.9,19.3,17.6,14.8,12.3,9.5,10.9,9.1,11.6,13.0,13.7,16.1
1999,18.6,18.2,17.8,14.3,13.2,10.2,9.8,9.5,11.8,13.1,14.3,14.6
2000,16.1,16.7,14.9,14.2,12.5,10.5,10.5,9.6,10.9,12.5,12.2,16.7
2001,16.4,17.8,16.2,14.2,12.6,10.4,7.9,10.3,11.7,13.0,14.0,16.2
2002,17.2,15.6,16.3,13.5,12.1,10.9,8.9,9.8,11.3,11.5,12.4,15.4
2003,16.5,16.7,17.3,12.9,12.5,11.6,8.4,9.7,10.8,11.8,12.8,15.5
2004,17.5,15.5,14.4,12.2,12.0,10.5,8.2,8.3,9.9,11.8,14.3,13.9
2005,16.4,18.7,15.9,12.9,12.4,9.1,9.9,10.7,11.84,12.24,13.64,17.34
2006,17.04,17.44,13.94,15.14,11.64,8.54,9.24,9.14,11.04,10.64,12.74,12.84
2007,15.54,16.44,16.54,12.94,12.84,8.84,8.64,9.14,10.24,10.84,12.74,15.24
2008,17.74,17.64,16.84,14.34,10.34,10.34,9.14,9.14,10.94,12.34,14.04,15.94
2009,17.14,16.64,15.24,13.44,9.64,8.24,8.14,11.04,10.84,10.34,13.24,14.94
2010,15.84,17.14,15.94,14.74,11.84,9.54,8.14,10.04,11.34,11.24,14.14,16.44
