year,tas
1972,4.56239626
1973,5.32976995
1974,5.31800531
1975,5.11516914
1976,5.12446336
1977,5.43657959
1978,5.42179663
1979,5.73495913
1980,5.20563333
1981,5.40584167
1982,4.92895303
1983,5.28612650
1984,6.41804012
1985,6.07237897
1986,5.03583952
1987,6.13140465
1988,6.28988558
1989,5.55034831
1990,5.86100084
1991,5.31902570
1992,4.97132108
1993,5.87172233
1994,5.41282354
1995,4.94502343
1996,4.94784752
1997,5.39987167
1998,6.36861302
1999,5.97366728
2000,6.36134102
2001,5.58066248
2002,6.43027360
2003,6.17867103
2004,5.42034961
2005,6.29594441
2006,5.26596700
2007,5.73449984
2008,5.80486400
2009,5.55507357
2010,5.91374178
2011,5.96632204
2012,6.01705341
2013,6.75736298
2014,6.31660767
2015,5.67020870
2016,6.32976434
2017,6.17249455
2018,6.25666212
2019,6.32485286
2020,6.70651647
2021,6.79380955
2022,6.87263877
2023,6.24105949
2024,6.57514640
