year,sfcWind
1997,3.74092403
1998,4.18141210
1999,3.69601539
2000,3.48071983
2001,3.30143338
2002,3.96823573
2003,3.07518001
2004,3.67913093
2005,3.41100328
2006,3.88280056
2007,3.71955022
2008,3.39114623
2009,3.67727057
2010,3.88760264
2011,3.22543281
2012,3.55972444
2013,2.84696831
2014,3.05508855
2015,2.88728430
2016,3.05341235
2017,3.01977705
2018,3.13039854
2019,2.70192830
2020,3.05384663
2021,2.98190870
2022,2.99611112
2023,3.30222306
2024,3.62282375
