year,tas
1972,6.51601939
1973,7.75614636
1974,7.79907291
1975,7.46895959
1976,7.21352811
1977,7.51932435
1978,7.78266701
1979,7.89671542
1980,7.40262508
1981,7.97401345
1982,7.14876005
1983,7.60098984
1984,8.70968945
1985,8.43306884
1986,7.02888496
1987,8.06502632
1988,8.48911018
1989,7.68852207
1990,8.20332725
1991,7.74930854
1992,7.67796313
1993,7.91911440
1994,7.61792503
1995,7.29488643
1996,7.32571891
1997,7.29880989
1998,8.51786655
1999,7.90175338
2000,8.62741906
2001,7.90012181
2002,8.78932484
2003,8.40935268
2004,7.78345431
2005,8.49446865
2006,7.71071331
2007,8.18632204
2008,8.00495453
2009,7.74067766
2010,8.02684740
2011,7.93695989
2012,8.10292075
2013,9.04487318
2014,8.35051392
2015,7.84311406
2016,8.54593494
2017,8.11863009
2018,8.52767560
2019,8.47280012
2020,8.84620779
2021,8.93107006
2022,9.43335071
2023,8.26007124
2024,8.85765120
