year,pr
1961,413.61701331
1962,508.51723958
1963,379.66287529
1964,466.55482552
1965,470.41788356
1966,376.41660430
1967,507.20654425
1968,596.77022017
1969,423.81137412
1970,577.26384127
1971,610.89339483
1972,524.35267601
1973,469.07373597
1974,399.99925159
1975,437.28176834
1976,377.43143330
1977,426.74567052
1978,440.22923157
1979,520.75343312
1980,543.67002002
1981,474.36150030
1982,456.12562875
1983,545.59987817
1984,452.69623183
1985,368.25875033
1986,393.26901053
1987,480.68540597
1988,677.21655208
1989,440.15100513
1990,403.72612479
1991,423.35288487
1992,393.75172744
1993,395.70842398
1994,581.23052824
1995,567.04866417
1996,559.51976329
1997,465.32111217
1998,540.15529545
1999,543.54813332
2000,483.09873814
2001,442.04698460
2002,485.72978853
2003,554.35173614
2004,441.36332782
2005,383.79664955
2006,545.38951353
2007,441.84486120
2008,496.45957706
2009,373.02629014
2010,427.37383169
2011,416.48786877
2012,470.44466974
2013,533.47057697
2014,466.57907058
2015,394.98962666
2016,489.37955791
2017,365.80169698
2018,389.10343747
2019,479.05557393
2020,524.21347141
2021,474.95666174
2022,480.64891654
2023,433.04333826
2024,502.63025846
