year,sfcWind
1997,3.41320388
1998,3.69974110
1999,2.89813916
2000,3.54404531
2001,2.51558252
2002,4.33525890
2003,3.41027508
2004,3.77736246
2005,3.34320388
2006,3.23572816
2007,3.87415858
2008,3.79640777
2009,3.11294498
2010,3.50475728
2011,3.51608414
2012,3.19433657
2013,3.02558252
2014,3.44603560
2015,3.78771845
2016,3.41634304
2017,3.13841424
2018,3.56823625
2019,3.04626214
2020,3.82322006
2021,3.86692557
2022,4.09815534
2023,3.73419094
2024,3.77147249
