year,pr
1961,395.74794521
1962,450.21972603
1963,262.17945205
1964,282.94383562
1965,471.37178082
1966,493.83890411
1967,360.97945205
1968,487.85150685
1969,355.59589041
1970,444.81890411
1971,292.52164384
1972,440.07589041
1973,394.89287671
1974,593.91123288
1975,416.32602740
1976,264.98575342
1977,463.05287671
1978,398.27863014
1979,652.00767123
1980,528.13479452
1981,429.05287671
1982,302.14684932
1983,471.19287671
1984,334.36027397
1985,318.62328767
1986,295.15287671
1987,576.80657534
1988,316.54876712
1989,385.57178082
1990,410.11589041
1991,407.42191781
1992,328.35041096
1993,375.33260274
1994,329.76958904
1995,484.84821918
1996,451.52082192
1997,331.87260274
1998,214.40246575
1999,437.05369863
2000,358.70054795
2001,221.63013699
2002,246.51534247
2003,208.75068493
2004,274.92356164
2005,496.88054795
2006,436.61917808
2007,211.18931507
2008,389.44054795
2009,369.17780822
2010,338.96904110
2011,476.40164384
2012,383.43424658
2013,366.07780822
2014,464.21260274
2015,428.20356164
2016,368.79178082
2017,523.40273973
2018,448.12136986
2019,321.16410959
2020,370.94136986
2021,290.68986301
2022,297.23315068
2023,461.28657534
2024,231.34794521
