year,pr
1961,405.81135671
1962,504.08776434
1963,397.76264033
1964,442.12963189
1965,429.06984597
1966,401.66787051
1967,510.66450265
1968,572.73088504
1969,393.71274911
1970,374.67808720
1971,390.98885215
1972,614.15942912
1973,469.54753285
1974,461.34937777
1975,614.23618484
1976,386.60716213
1977,393.71547298
1978,460.55549561
1979,555.85324167
1980,459.77994082
1981,471.44627970
1982,435.61631712
1983,561.54614046
1984,423.35789748
1985,336.35727091
1986,400.20618745
1987,538.68762510
1988,416.39615351
1989,386.94326865
1990,523.37230006
1991,350.73358280
1992,304.73244278
1993,388.69776347
1994,442.59013141
1995,578.36555565
1996,520.62092072
1997,411.24658428
1998,447.46382386
1999,492.49767644
2000,482.31305369
2001,360.94399095
2002,368.81082586
2003,339.21227047
2004,375.32356627
2005,415.56170916
2006,493.32440171
2007,383.44580106
2008,347.48960926
2009,457.93494909
2010,459.05902881
2011,521.49133235
2012,350.86398051
2013,367.93808198
2014,477.35297189
2015,482.52202593
2016,489.63379166
2017,478.03725524
2018,494.85901140
2019,479.73629797
2020,352.31354973
2021,408.39128013
2022,350.62696023
2023,566.94035332
2024,328.23983987
