year,sfcWind
1997,5.87801572
1998,4.09630550
1999,4.08256002
2000,4.28606119
2001,3.74642660
2002,4.44549819
2003,5.09261525
2004,4.74400680
2005,4.28833864
2006,4.68496707
2007,3.99025706
2008,4.37649883
2009,5.14791587
2010,3.66071595
2011,4.48698109
2012,3.94413002
2013,3.50523688
2014,4.60154876
2015,4.26862758
2016,4.09153389
2017,3.24839813
2018,3.75618228
2019,4.11506905
2020,3.78128744
2021,3.44335458
2022,3.56179520
2023,3.48227109
2024,3.83949862
