year,pr
1961,267.65530973
1962,548.59637168
1963,654.66778761
1964,462.48238938
1965,400.47061947
1966,93.95707965
1967,322.79876106
1968,592.76495575
1969,264.55707965
1970,132.91168142
1971,399.96380531
1972,453.48504425
1973,527.00637168
1974,291.89088496
1975,662.11026549
1976,444.08061947
1977,255.13327434
1978,510.60371681
1979,483.83938053
1980,416.14486726
1981,296.05274336
1982,654.59371681
1983,667.54389381
1984,283.16654867
1985,231.48601770
1986,339.61619469
1987,503.33778761
1988,505.77946903
1989,251.59761062
1990,634.81469027
1991,214.93415929
1992,161.59106195
1993,467.60309735
1994,617.59008850
1995,458.94734513
1996,422.57530973
1997,300.35477876
1998,350.36592920
1999,544.10955752
2000,640.47097345
2001,368.26477876
2002,310.57008850
2003,519.40761062
2004,537.43796460
2005,387.52690265
2006,348.76982301
2007,544.43026549
2008,95.50699115
2009,447.31849558
2010,232.51353982
2011,606.18929204
2012,262.42513274
2013,269.04460177
2014,615.63318584
2015,556.22654867
2016,790.42168142
2017,249.19106195
2018,359.92911504
2019,652.85663717
2020,329.09584071
2021,474.59415929
2022,472.74141593
2023,806.05690265
2024,96.70893805
