year,pr
1961,203.57116017
1962,233.17252231
1963,269.52564584
1964,260.08651949
1965,324.29835604
1966,354.27256928
1967,312.48844528
1968,322.67707844
1969,214.56740254
1970,350.79798027
1971,208.71178957
1972,179.34058243
1973,176.65495538
1974,259.52414279
1975,321.02071395
1976,271.46336308
1977,425.82498826
1978,220.88356036
1979,321.23612024
1980,474.82799436
1981,178.56087365
1982,333.78323156
1983,318.45086895
1984,380.50474401
1985,362.62747769
1986,401.88276186
1987,314.79027713
1988,323.19981212
1989,261.37477689
1990,331.30131517
1991,398.11244716
1992,263.68417097
1993,299.12916862
1994,468.30413340
1995,218.57632691
1996,365.61488962
1997,294.26580554
1998,302.18525129
1999,228.29295444
2000,288.70267731
2001,215.87172381
2002,452.34772194
2003,266.67557539
2004,371.57411930
2005,332.04391733
2006,294.25800845
2007,259.22005636
2008,328.76453734
2009,401.67961484
2010,359.23189291
2011,458.62207609
2012,311.73893847
2013,310.04091123
2014,293.67646783
2015,181.45251292
2016,318.00183185
2017,342.73734147
2018,416.60206670
2019,280.68774072
2020,371.06707374
2021,278.05326444
2022,484.92240488
2023,243.96627525
2024,288.81268201
2025,140.90061062
