year,sfcWind
1997,5.40820388
1998,4.66647249
1999,4.03627832
2000,4.63158576
2001,3.96773463
2002,4.30487055
2003,4.52705502
2004,3.76119741
2005,3.77467638
2006,4.24708738
2007,3.28166667
2008,4.08286408
2009,4.16820388
2010,3.16495146
2011,4.70288026
2012,3.76668285
2013,3.25629450
2014,4.54033981
2015,3.36833333
2016,4.49849515
2017,3.69079288
2018,3.71741100
2019,3.83822006
2020,4.03859223
2021,3.28833333
2022,4.27661812
2023,3.64742718
2024,3.83268608
