year,sfcWind
1997,3.88544991
1998,4.46459166
1999,3.96946511
2000,3.86712684
2001,3.86664108
2002,3.68753107
2003,3.97291954
2004,4.13924708
2005,3.98437003
2006,4.00724594
2007,3.67047564
2008,3.67227122
2009,3.66014241
2010,3.65640692
2011,3.72243471
2012,3.39392246
2013,3.44007787
2014,3.63733894
2015,3.25383098
2016,3.45509382
2017,3.81435991
2018,3.31349322
2019,3.44945907
2020,3.54232862
2021,3.45873103
2022,3.37343271
2023,3.30683693
2024,3.58556801
2025,3.77191799
