year,sfcWind
1997,4.23781339
1998,3.01912393
1999,3.44568376
2000,3.91767094
2001,3.44537749
2002,3.80682336
2003,4.12452279
2004,3.62728632
2005,3.53121083
2006,4.02472934
2007,3.48029915
2008,3.58412393
2009,4.05716524
2010,2.84249288
2011,3.45648148
2012,2.76663818
2013,2.36423789
2014,3.63890313
2015,2.82326923
2016,3.14274217
2017,2.66026353
2018,2.78502137
2019,2.52988604
2020,2.83601140
2021,2.55631766
2022,2.67310541
2023,2.47800570
2024,2.65236467
