year,tas
1972,5.49724617
1973,6.20575463
1974,5.70347808
1975,6.37535190
1976,5.68491720
1977,4.14896286
1978,6.47673298
1979,4.95559478
1980,6.40577433
1981,5.06219943
1982,6.32363975
1983,5.74257565
1984,4.50777663
1985,5.54775754
1986,5.73315959
1987,7.45727284
1988,4.76884801
1989,6.01875483
1990,7.36729344
1991,6.24414612
1992,3.94727799
1993,6.10068865
1994,6.01848816
1995,6.54070289
1996,5.93677631
1997,7.18379748
1998,7.06826316
1999,7.90929787
2000,6.92833907
2001,6.27354202
2002,6.80231594
2003,7.15092274
2004,6.50452810
2005,6.48460204
2006,5.68031258
2007,8.57567615
2008,4.47427840
2009,3.95473113
2010,6.55475462
2011,8.23906196
2012,5.72400264
2013,6.19805376
2014,7.04837801
2015,6.55128714
2016,7.93696117
2017,5.47445870
2018,6.13766345
2019,8.02629661
2020,6.87846104
2021,6.65449477
2022,7.86889953
2023,8.19379536
2024,4.66076001
