year,sfcWind
1997,4.27359121
1998,4.76390522
1999,4.20885241
2000,3.96034542
2001,3.43070511
2002,3.71296317
2003,3.64606052
2004,3.59417357
2005,3.14107622
2006,4.17777905
2007,4.37063660
2008,3.75751641
2009,3.66414216
2010,3.19412218
2011,3.23294319
2012,3.80820725
2013,3.79148730
2014,3.65430203
2015,3.73137311
2016,3.25827291
2017,2.89647445
2018,2.56033971
2019,3.06783329
2020,2.99546960
2021,2.80020554
2022,3.17357408
2023,3.44339423
2024,2.95936911
