year,tas
1972,2.49698480
1973,1.71594873
1974,3.18372930
1975,2.25886150
1976,2.61942378
1977,2.75342505
1978,3.16967530
1979,3.51437673
1980,2.31408279
1981,2.82122532
1982,1.43634449
1983,1.96910862
1984,3.46141154
1985,3.29162184
1986,1.88086259
1987,2.92915650
1988,4.13026485
1989,1.97576857
1990,3.02953378
1991,1.41904347
1992,2.70296595
1993,3.82696404
1994,2.51526766
1995,0.69500598
1996,1.59113396
1997,2.61167290
1998,3.93881725
1999,3.19869619
2000,3.92582842
2001,1.45430234
2002,2.73523841
2003,2.59607115
2004,2.21629722
2005,4.51096532
2006,2.98192245
2007,2.37140487
2008,2.83229519
2009,2.12486098
2010,2.77447083
2011,2.88592403
2012,3.42751708
2013,4.99062259
2014,3.24063319
2015,2.91581918
2016,3.68866877
2017,2.16873437
2018,4.22474280
2019,4.81965106
2020,3.51533963
2021,3.79932802
2022,3.01797982
2023,4.08579069
2024,3.53782860
