year,pr
1961,137.57163867
1962,150.14330345
1963,79.41058219
1964,98.58956575
1965,119.51090419
1966,176.20990340
1967,200.36908885
1968,208.09223740
1969,158.20181011
1970,107.45503437
1971,100.78171613
1972,158.98691150
1973,171.08657210
1974,229.61546428
1975,206.38827778
1976,131.58693760
1977,158.70931164
1978,169.54146724
1979,137.27581586
1980,134.14601862
1981,172.19149769
1982,105.38383953
1983,193.48122009
1984,107.39678009
1985,131.13305195
1986,133.23068488
1987,146.93268645
1988,68.87947089
1989,92.44695849
1990,173.15221478
1991,202.47947959
1992,74.81942390
1993,97.93719433
1994,127.21129580
1995,182.20254112
1996,222.38677226
1997,167.54715865
1998,131.79005309
1999,153.98821687
2000,181.26914107
2001,96.52040728
2002,104.90615264
2003,72.13527108
2004,82.15737534
2005,66.83211209
2006,227.27616395
2007,85.38762510
2008,151.40958141
2009,177.82017231
2010,172.81631712
2011,148.08498825
2012,88.36922809
2013,142.49197633
2014,208.57849621
2015,193.49817248
2016,97.79590984
2017,209.51511618
2018,187.69677139
2019,141.79543121
2020,117.66176138
2021,111.32946654
2022,103.13466191
2023,138.83294752
2024,144.33902184
