year,sfcWind
1997,3.65846430
1998,3.82735043
1999,3.11610146
2000,3.82166391
2001,3.38912324
2002,3.80639647
2003,3.43299559
2004,3.50308795
2005,2.94397574
2006,3.89662945
2007,4.26663910
2008,3.78871657
2009,3.67445547
2010,3.05833333
2011,2.84392749
2012,3.45175076
2013,3.28722774
2014,3.24560243
2015,3.28815826
2016,2.82631652
2017,2.91839675
2018,2.37148470
2019,2.57630273
2020,2.54941412
2021,2.49141163
2022,2.70230907
2023,2.62338020
2024,2.67781913
