year,sfcWind
1997,2.95600358
1998,3.29458919
1999,2.84611249
2000,2.45724428
2001,3.05865040
2002,3.26745244
2003,2.65832644
2004,3.13964709
2005,2.87617177
2006,3.23119658
2007,3.06599118
2008,2.99424455
2009,3.37919768
2010,3.45337745
2011,2.57850152
2012,2.97526882
2013,2.04410670
2014,2.67028536
2015,2.30901572
2016,2.32504825
2017,2.39805624
2018,2.44227323
2019,2.08276124
2020,2.23671078
2021,2.16978908
2022,2.19530604
2023,2.56719741
2024,2.47636476
