year,pr
1961,1118.63530973
1962,1012.57584071
1963,1252.71168142
1964,1290.90106195
1965,1060.63663717
1966,885.68008850
1967,1624.42929204
1968,1389.50168142
1969,1109.51115044
1970,740.98849558
1971,789.58345133
1972,1567.17513274
1973,1356.35203540
1974,1188.98840708
1975,1953.17203540
1976,1064.16964602
1977,856.63982301
1978,1326.69371681
1979,1337.60699115
1980,1102.91504425
1981,1343.14761062
1982,1177.92831858
1983,1698.96283186
1984,1059.16203540
1985,717.49752212
1986,1069.59000000
1987,1369.15973451
1988,1057.72654867
1989,1056.30787611
1990,1461.82725664
1991,844.70876106
1992,691.95893805
1993,1049.92858407
1994,1220.82734513
1995,1623.46557522
1996,1429.47221239
1997,961.53451327
1998,1388.56743363
1999,1379.41920354
2000,1323.84176991
2001,865.18566372
2002,1041.47115044
2003,820.99716814
2004,1059.14292035
2005,953.89203540
2006,1247.97619469
2007,1182.03176991
2008,714.05044248
2009,1423.18530973
2010,1185.24716814
2011,1258.59575221
2012,753.29053097
2013,805.07371681
2014,1271.16469027
2015,1401.85318584
2016,1480.15017699
2017,764.19097345
2018,1192.29132743
2019,1604.61796460
2020,1020.97831858
2021,1247.27017699
2022,914.95070796
2023,1874.94026549
2024,891.79097345
