year,sfcWind
1997,6.36238523
1998,5.93744538
1999,5.21006353
2000,5.49995571
2001,4.92480572
2002,6.40529563
2003,5.56843551
2004,5.39958344
2005,4.77156921
2006,6.26074807
2007,5.39247400
2008,5.08072470
2009,5.17736986
2010,4.98811558
2011,4.53382373
2012,4.94476300
2013,4.86316787
2014,5.32712329
2015,5.24330643
2016,5.06922335
2017,4.42174753
2018,4.66007355
2019,5.07181097
2020,5.19362223
2021,4.83549349
2022,4.52152511
2023,5.12239210
2024,4.81423067
