year,sfcWind
1997,4.31793036
1998,4.12030029
1999,4.20926905
2000,3.87218355
2001,3.48932349
2002,4.23267241
2003,4.20954634
2004,4.08878034
2005,3.57985148
2006,4.76626838
2007,4.07992655
2008,4.08935459
2009,4.03383805
2010,3.82847543
2011,3.59716459
2012,3.62786808
2013,3.63030379
2014,3.92666081
2015,3.84066735
2016,3.43804438
2017,3.20104296
2018,3.04491760
2019,3.55055955
2020,3.55392753
2021,3.52041516
2022,3.42317419
2023,3.84335875
2024,3.56553572
