year,pr
1961,712.60097087
1962,475.01504854
1963,471.45485437
1964,616.94077670
1965,627.52815534
1966,474.55145631
1967,328.09271845
1968,572.50291262
1969,402.31990291
1970,563.73058252
1971,474.32621359
1972,417.60388350
1973,498.56553398
1974,426.21941748
1975,414.31699029
1976,502.65291262
1977,516.99805825
1978,560.64805825
1979,663.69126214
1980,432.28300971
1981,511.02475728
1982,242.07815534
1983,290.95291262
1984,427.58058252
1985,446.90291262
1986,443.62475728
1987,317.95873786
1988,516.06213592
1989,428.97669903
1990,539.42669903
1991,470.79563107
1992,568.20582524
1993,430.93883495
1994,416.83980583
1995,513.83980583
1996,641.94854369
1997,424.75436893
1998,707.89757282
1999,398.71747573
2000,477.79271845
2001,327.75194175
2002,501.48980583
2003,412.53932039
2004,337.48058252
2005,376.45485437
2006,336.65485437
2007,500.61504854
2008,683.72475728
2009,411.40728155
2010,559.32961165
2011,364.98106796
2012,433.08300971
2013,369.12815534
2014,545.23786408
2015,400.54174757
2016,473.85970874
2017,445.11941748
2018,475.07524272
2019,381.20776699
2020,477.06165049
2021,390.53592233
2022,613.13980583
2023,383.63009709
2024,378.22475728
