year,pr
1961,200.48301370
1962,322.51534247
1963,302.74000000
1964,220.71945205
1965,267.56273973
1966,304.78712329
1967,545.43479452
1968,290.76027397
1969,325.37287671
1970,230.64219178
1971,293.65589041
1972,235.43068493
1973,133.84164384
1974,226.89287671
1975,267.38876712
1976,408.71479452
1977,418.35561644
1978,174.89232877
1979,288.23123288
1980,426.85917808
1981,212.03753425
1982,256.57452055
1983,272.54904110
1984,292.33397260
1985,267.63698630
1986,471.96739726
1987,220.18301370
1988,356.85835616
1989,214.69287671
1990,230.95013699
1991,378.12136986
1992,441.65506849
1993,305.72876712
1994,204.38821918
1995,281.43945205
1996,353.82493151
1997,317.74465753
1998,234.24520548
1999,237.06410959
2000,277.40109589
2001,191.75068493
2002,461.00712329
2003,251.07972603
2004,745.59232877
2005,386.65561644
2006,271.81095890
2007,228.74712329
2008,195.86794521
2009,367.80328767
2010,335.31506849
2011,270.56739726
2012,388.62438356
2013,294.30986301
2014,266.92739726
2015,179.53424658
2016,216.31808219
2017,361.02602740
2018,364.72356164
2019,260.52054795
2020,223.91506849
2021,192.21945205
2022,633.78958904
2023,536.10410959
2024,188.81917808
2025,161.44821918
