year,tas
1972,9.47966639
1973,9.17248759
1974,8.84590915
1975,8.74497519
1976,7.65738213
1977,8.22763648
1978,8.23451889
1979,8.76465054
1980,9.52715054
1981,8.95587607
1982,6.74851461
1983,9.22147436
1984,8.31744210
1985,8.21149711
1986,9.25725806
1987,8.52337331
1988,8.31720085
1989,9.45998070
1990,9.06981665
1991,8.20110629
1992,8.01529501
1993,8.72663703
1994,7.68770334
1995,8.60556245
1996,8.97142611
1997,8.99629515
1998,9.14650882
1999,10.36114213
2000,8.96282741
2001,10.46725600
2002,7.56709746
2003,8.39979666
2004,9.20626206
2005,8.48217191
2006,8.58871312
2007,7.58408464
2008,8.49730149
2009,7.34752550
2010,8.61418183
2011,9.37186380
2012,8.00202302
2013,8.79676385
2014,8.41662876
2015,8.68582506
2016,8.22886339
2017,9.15784739
2018,8.77940791
2019,7.69319686
2020,9.00319479
2021,9.18612490
2022,8.13241315
2023,8.48912324
2024,8.68802040
