year,pr
1961,595.63461538
1962,907.32713675
1963,546.80641026
1964,756.10149573
1965,612.94209402
1966,541.73397436
1967,714.96495726
1968,954.64337607
1969,633.73162393
1970,761.12649573
1971,693.65790598
1972,719.91068376
1973,584.43440171
1974,655.61880342
1975,493.92072650
1976,589.52991453
1977,556.66944444
1978,515.98076923
1979,771.82094017
1980,794.64401709
1981,798.24358974
1982,573.87756410
1983,855.36944444
1984,571.57692308
1985,616.58782051
1986,590.89337607
1987,749.89850427
1988,1005.07863248
1989,543.04401709
1990,631.39465812
1991,539.77500000
1992,477.49230769
1993,579.82094017
1994,936.00662393
1995,819.06175214
1996,914.41901709
1997,534.17670940
1998,965.19978632
1999,696.65363248
2000,647.93824786
2001,651.79444444
2002,638.95790598
2003,678.33589744
2004,682.83376068
2005,248.38141026
2006,742.09166667
2007,659.50213675
2008,717.60042735
2009,458.14764957
2010,590.83076923
2011,596.13119658
2012,621.98632479
2013,773.23824786
2014,529.16666667
2015,394.32136752
2016,670.22414530
2017,489.55128205
2018,331.92991453
2019,628.98995726
2020,748.49700855
2021,672.17115385
2022,502.37478632
2023,468.16944444
2024,693.63782051
