year,tas
1972,2.55212124
1973,3.03295808
1974,2.36683359
1975,4.28832179
1976,3.58148457
1977,3.70222503
1978,4.69633631
1979,2.92747693
1980,4.43058228
1981,2.25480992
1982,4.86366687
1983,4.39172715
1984,4.99771133
1985,3.73777936
1986,2.35133487
1987,5.92279277
1988,4.65057880
1989,4.50256292
1990,4.02934666
1991,5.08606343
1992,2.99132638
1993,3.42650419
1994,5.04927575
1995,3.73781042
1996,3.37786936
1997,4.21019637
1998,3.68285353
1999,4.04918332
2000,3.86962757
2001,4.68003455
2002,4.95233716
2003,3.95617434
2004,2.60338414
2005,5.75228413
2006,4.16917908
2007,4.47490795
2008,3.31945939
2009,6.04686056
2010,4.83587100
2011,4.14749920
2012,5.19307262
2013,5.84000364
2014,4.20600691
2015,3.65901302
2016,3.62029955
2017,5.39240367
2018,4.75247276
2019,4.25279019
2020,5.81988591
2021,4.94837422
2022,5.40580842
2023,3.85136214
2024,4.69437567
