year,pr
1961,171.95048544
1962,155.24902913
1963,101.43543689
1964,203.12184466
1965,300.80388350
1966,109.78737864
1967,162.42184466
1968,190.41601942
1969,139.07427184
1970,252.46165049
1971,200.58446602
1972,158.65242718
1973,152.12087379
1974,115.92718447
1975,117.30533981
1976,164.01407767
1977,95.45436893
1978,125.43495146
1979,162.72038835
1980,105.44320388
1981,165.90145631
1982,40.78009709
1983,76.09271845
1984,184.35485437
1985,132.61116505
1986,183.72184466
1987,62.84271845
1988,181.57669903
1989,197.39514563
1990,220.55145631
1991,188.80339806
1992,245.22572816
1993,151.14660194
1994,108.64223301
1995,104.16504854
1996,196.08980583
1997,128.12135922
1998,159.45194175
1999,133.91893204
2000,113.05048544
2001,149.09029126
2002,95.70970874
2003,125.94368932
2004,90.49805825
2005,51.71844660
2006,138.95728155
2007,144.51504854
2008,198.35194175
2009,99.30728155
2010,223.08446602
2011,55.56601942
2012,153.66747573
2013,148.39757282
2014,177.24029126
2015,187.85097087
2016,162.76067961
2017,135.10048544
2018,116.34757282
2019,160.86067961
2020,154.91893204
2021,133.90388350
2022,139.53834951
2023,80.80291262
2024,102.01990291
