year,tas
1972,8.23431916
1973,8.30743648
1974,8.39906651
1975,8.25621896
1976,7.39978733
1977,7.75033543
1978,7.82571938
1979,8.15106623
1980,9.03193548
1981,8.22876106
1982,6.26689695
1983,8.90779617
1984,7.65941764
1985,7.96863260
1986,9.08212247
1987,8.05120183
1988,7.55701542
1989,9.23344134
1990,8.41918356
1991,7.56844990
1992,7.80131459
1993,7.82564802
1994,6.81710248
1995,8.04202541
1996,8.58364259
1997,8.30712389
1998,8.42832858
1999,9.90438053
2000,8.40924921
2001,9.98496432
2002,6.96571653
2003,8.02078219
2004,7.99081787
2005,8.21505424
2006,7.97487868
2007,7.01726520
2008,7.32308735
2009,6.76625607
2010,8.31755923
2011,8.66543249
2012,6.91820154
2013,7.79256637
2014,7.73927633
2015,8.02215672
2016,8.27777619
2017,8.92536112
2018,8.48120468
2019,7.35614331
2020,8.58766914
2021,9.18714530
2022,8.04077648
2023,7.85553668
2024,8.23555096
