year,tas
1972,8.81804653
1973,8.52800829
1974,8.45191948
1975,9.18288188
1976,8.53962184
1977,8.29195135
1978,10.82976843
1979,8.30729339
1980,8.38065010
1981,9.36485235
1982,6.90115148
1983,7.18497132
1984,8.64713618
1985,9.02755789
1986,9.91974187
1987,8.48228489
1988,7.14987572
1989,8.54711812
1990,8.83747185
1991,7.41565328
1992,6.59852029
1993,7.26125876
1994,8.84665073
1995,8.53104207
1996,8.13406310
1997,7.76510304
1998,7.83651264
1999,7.72958254
2000,8.39379010
2001,8.93732420
2002,8.51753240
2003,7.27406204
2004,7.22277353
2005,7.57465158
2006,9.60178564
2007,8.16637242
2008,7.89898555
2009,8.62428086
2010,9.86473656
2011,7.94189080
2012,8.99421819
2013,8.48077757
2014,8.75432972
2015,8.74545889
2016,9.43393881
2017,9.18949862
2018,7.81545039
2019,7.76693223
2020,8.39665604
2021,8.87614298
2022,9.13689611
2023,8.94260569
2024,8.99434778
