year,sfcWind
1997,2.85613570
1998,3.00154699
1999,3.30219397
2000,2.49772875
2001,2.53701723
2002,2.68347248
2003,2.99810452
2004,2.90517281
2005,3.26306156
2006,3.49821361
2007,2.93396415
2008,3.26314944
2009,3.23599297
2010,2.45442052
2011,3.61124714
2012,2.68629070
2013,3.56387218
2014,3.18771951
2015,3.35290535
2016,3.62164275
2017,2.74447189
2018,3.08802406
2019,2.78467250
2020,2.64765678
2021,2.89104986
2022,3.08102395
2023,3.28563615
2024,2.60912893
