year,tas
1972,6.98003293
1973,6.38093372
1974,6.32953474
1975,5.64598895
1976,4.63264287
1977,3.73154557
1978,5.35751009
1979,5.65165286
1980,6.41024325
1981,4.99960059
1982,5.32517421
1983,5.31062035
1984,5.48459103
1985,6.57300085
1986,5.46085723
1987,5.56429785
1988,7.07987359
1989,6.77614510
1990,5.56409496
1991,6.03440833
1992,4.04344487
1993,5.04088167
1994,4.30073189
1995,5.47385808
1996,6.86977268
1997,4.59900042
1998,6.55267262
1999,6.50145953
2000,6.00090397
2001,7.16916295
2002,6.57771617
2003,4.75252496
2004,5.29121415
2005,6.65476312
2006,7.33688868
2007,6.15936371
2008,6.79676014
2009,6.19395687
2010,5.57975781
2011,5.59972169
2012,6.40536754
2013,5.70580200
2014,5.85810814
2015,4.88718292
2016,6.98973975
2017,6.44183875
2018,5.74972700
2019,5.54685256
2020,5.75304759
2021,5.76782983
2022,6.08862545
2023,6.76824517
2024,5.94093053
