year,pr
1961,328.41310680
1962,170.70970874
1963,185.89077670
1964,188.89757282
1965,151.77815534
1966,176.22135922
1967,66.47621359
1968,252.11165049
1969,165.85582524
1970,156.65679612
1971,131.71796117
1972,136.64902913
1973,198.26650485
1974,157.03106796
1975,213.19514563
1976,134.79660194
1977,223.11601942
1978,216.66650485
1979,275.71165049
1980,175.01990291
1981,207.51941748
1982,82.91116505
1983,160.45339806
1984,97.47766990
1985,139.57572816
1986,85.81844660
1987,119.02912621
1988,80.00048544
1989,139.54611650
1990,135.82718447
1991,132.76941748
1992,103.04708738
1993,244.47621359
1994,97.67912621
1995,184.18009709
1996,227.41650485
1997,218.05922330
1998,146.57087379
1999,128.37281553
2000,173.12669903
2001,70.51844660
2002,223.48058252
2003,140.78689320
2004,129.88592233
2005,131.21844660
2006,121.10291262
2007,106.22038835
2008,195.43883495
2009,169.67135922
2010,191.71699029
2011,157.09417476
2012,86.75873786
2013,169.74077670
2014,208.28883495
2015,82.88883495
2016,131.12718447
2017,102.83398058
2018,226.56601942
2019,78.54805825
2020,180.83252427
2021,132.41019417
2022,153.93543689
2023,171.55631068
2024,124.27718447
