year,tas
1972,3.57228081
1973,3.17054728
1974,3.74400331
1975,2.83123104
1976,3.24547836
1977,4.19803557
1978,4.43048663
1979,4.20545906
1980,3.34272815
1981,3.45536945
1982,2.79967259
1983,3.35260201
1984,5.13817204
1985,4.85311208
1986,2.73570789
1987,3.80933278
1988,4.72817066
1989,3.01949269
1990,4.15431486
1991,2.98774814
1992,3.67988696
1993,3.91569134
1994,3.20063413
1995,2.55488696
1996,3.77181555
1997,3.19691205
1998,5.85227461
1999,4.54862145
2000,5.61516405
2001,2.47599600
2002,4.51948235
2003,3.12311828
2004,2.98609043
2005,5.17529294
2006,4.04990695
2007,4.05263303
2008,3.83512545
2009,3.35671009
2010,4.24491315
2011,3.83616281
2012,4.90638613
2013,4.93796526
2014,3.81147643
2015,3.19565757
2016,4.08931624
2017,3.86118004
2018,4.54252481
2019,5.00825751
2020,4.77089881
2021,5.06799352
2022,5.21693893
2023,4.92302178
2024,5.60094775
