year,sfcWind
1997,4.77757078
1998,4.94320548
1999,4.05449315
2000,5.31708676
2001,4.49684932
2002,5.39948858
2003,5.54950685
2004,5.53387215
2005,4.41769863
2006,4.38175342
2007,4.80312329
2008,4.92011872
2009,4.09944292
2010,4.29251142
2011,3.62326027
2012,4.60721461
2013,3.83830137
2014,3.61809132
2015,5.04198174
2016,3.99629224
2017,3.25666667
2018,3.58575342
2019,3.94366210
2020,3.74321461
2021,4.18183562
2022,4.65467580
2023,3.32878539
2024,3.44044749
