year,pr
1961,172.23504274
1962,364.06388889
1963,332.64188034
1964,198.52393162
1965,183.31645299
1966,75.74081197
1967,164.24615385
1968,255.30405983
1969,173.45405983
1970,161.27478632
1971,295.34957265
1972,249.29401709
1973,231.06581197
1974,230.95641026
1975,279.09658120
1976,194.34935897
1977,162.02307692
1978,175.50277778
1979,285.04829060
1980,190.88995726
1981,195.70363248
1982,279.15277778
1983,303.74636752
1984,161.25790598
1985,49.45405983
1986,201.41303419
1987,252.64316239
1988,320.71730769
1989,134.63675214
1990,199.58504274
1991,61.83461538
1992,99.65299145
1993,260.31880342
1994,280.06452991
1995,249.13461538
1996,175.46047009
1997,125.23653846
1998,195.78226496
1999,162.08418803
2000,241.41709402
2001,253.91666667
2002,177.30683761
2003,200.29358974
2004,276.93119658
2005,170.79957265
2006,209.46474359
2007,173.39145299
2008,22.91367521
2009,132.28696581
2010,191.46089744
2011,496.35662393
2012,114.81816239
2013,152.11880342
2014,233.79743590
2015,190.53290598
2016,384.85726496
2017,189.19358974
2018,204.00192308
2019,274.37222222
2020,189.71752137
2021,255.91837607
2022,230.75769231
2023,432.99594017
2024,42.03974359
