year,tas
1972,6.51046840
1973,8.21872735
1974,7.49528502
1975,8.64414494
1976,8.16523199
1977,7.99580645
1978,8.20491383
1979,7.59011489
1980,7.67240389
1981,7.02373840
1982,7.79482987
1983,8.08488290
1984,8.71247017
1985,7.51031816
1986,6.84258948
1987,9.13094565
1988,8.35410959
1989,8.29716748
1990,8.69766681
1991,9.28296509
1992,7.31586390
1993,6.89302254
1994,8.63535572
1995,7.48810429
1996,7.31503314
1997,8.11115776
1998,7.95357490
1999,7.48365886
2000,7.95565621
2001,9.17923111
2002,8.51588599
2003,8.41998232
2004,7.26706142
2005,9.19478126
2006,8.24813080
2007,8.69596553
2008,7.88572249
2009,9.56143615
2010,9.05236854
2011,7.29218736
2012,8.96159523
2013,9.75890853
2014,7.75659302
2015,8.20496244
2016,7.59752099
2017,9.38574901
2018,9.10164384
2019,8.07844454
2020,9.02958020
2021,8.37885550
2022,9.76746796
2023,7.30004861
2024,9.27260274
